Player,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Tm,Home,Win,season,date
Tobias Harris,7,11,0.636,1,4,0.25,0,1,0.0,0,9,9,3,0,0,0,0,15,15.0,ORL,0,1,2016,20151214
Evan Fournier,1,6,0.167,1,4,0.25,0,0,0.0,1,0,1,2,0,0,1,1,3,15.0,ORL,0,1,2016,20151214
Channing Frye,4,6,0.667,3,5,0.6,0,0,0.0,0,4,4,5,2,0,0,1,11,18.0,ORL,0,1,2016,20151214
Andrew Nicholson,6,9,0.667,2,5,0.4,1,2,0.5,0,3,3,0,2,0,2,2,15,5.0,ORL,0,1,2016,20151214
Aaron Gordon,1,3,0.333,0,0,0.0,2,3,0.667,1,4,5,0,0,0,3,2,4,8.0,ORL,0,1,2016,20151214
Victor Oladipo,2,3,0.667,1,2,0.5,5,6,0.833,0,2,2,2,3,1,1,4,10,8.0,ORL,0,1,2016,20151214
Mario Hezonja,4,5,0.8,0,0,0.0,0,0,0.0,1,2,3,1,1,0,2,1,8,7.0,ORL,0,1,2016,20151214
Jason Smith,2,7,0.286,0,0,0.0,0,0,0.0,0,3,3,0,0,0,2,2,4,9.0,ORL,0,1,2016,20151214
Dewayne Dedmon,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,1,0,1,0,0.0,ORL,0,1,2016,20151214
Shabazz Napier,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,2,2,0,2,0,0,0.0,ORL,0,1,2016,20151214
Thaddeus Young,5,11,0.455,0,1,0.0,0,0,0.0,2,9,11,2,1,0,1,3,10,-21.0,BRK,1,0,2016,20151214
Bojan Bogdanović,4,8,0.5,2,5,0.4,0,0,0.0,0,0,0,1,0,0,3,2,10,-16.0,BRK,1,0,2016,20151214
Brook Lopez,4,15,0.267,0,0,0.0,3,4,0.75,2,4,6,0,0,0,1,2,11,-12.0,BRK,1,0,2016,20151214
Joe Johnson,2,8,0.25,2,4,0.5,0,0,0.0,1,2,3,5,0,0,2,3,6,-16.0,BRK,1,0,2016,20151214
Jarrett Jack,5,9,0.556,1,3,0.333,4,5,0.8,0,5,5,7,0,0,3,1,15,-14.0,BRK,1,0,2016,20151214
Andrea Bargnani,5,8,0.625,0,0,0.0,2,3,0.667,0,3,3,0,0,0,2,1,12,-12.0,BRK,1,0,2016,20151214
Wayne Ellington,3,8,0.375,2,4,0.5,3,3,1.0,1,0,1,0,1,0,1,0,11,-3.0,BRK,1,0,2016,20151214
Shane Larkin,1,5,0.2,0,1,0.0,0,0,0.0,1,3,4,6,1,0,1,5,2,-13.0,BRK,1,0,2016,20151214
Markel Brown,1,2,0.5,0,1,0.0,1,1,1.0,0,0,0,0,1,0,0,2,3,-7.0,BRK,1,0,2016,20151214
