Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,season
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Channing Frye,C,33,CLE,12,154,21.3,.698,.650,.117,0.0,15.8,8.3,13.0,1.0,2.2,3.1,18.8,,0.6,0.1,0.7,.230,,6.3,1.0,7.3,0.4,2017
Marc Gasol,C,32,MEM,6,240,17.1,.595,.145,.398,3.8,17.3,10.5,19.0,0.5,1.5,13.3,23.5,,0.4,0.0,0.4,.085,,3.2,-0.5,2.7,0.3,2017
Pau Gasol*,C,36,SAS,16,365,15.1,.494,.158,.211,11.9,24.7,18.0,12.4,1.0,4.1,12.6,17.3,,0.3,0.4,0.7,.093,,-0.2,0.5,0.3,0.2,2017
Paul George,SF,26,IND,4,172,21.0,.553,.477,.341,3.4,20.8,11.9,26.1,2.1,1.1,11.4,29.0,,0.4,0.1,0.5,.131,,5.2,0.9,6.1,0.4,2017
Taj Gibson,PF,31,OKC,5,118,10.5,.636,.000,.229,2.6,14.5,8.2,4.1,0.4,0.0,17.2,16.9,,0.1,0.0,0.1,.033,,-3.8,-1.4,-5.2,-0.1,2017
Manu Ginóbili*,SG,39,SAS,16,284,14.1,.495,.412,.237,3.9,12.3,7.9,20.1,2.9,0.7,10.1,18.6,,0.3,0.3,0.5,.092,,-1.2,2.2,1.0,0.2,2017
Rudy Gobert,C,24,UTA,9,246,21.0,.612,.000,.794,10.7,32.8,21.7,7.7,1.9,4.3,9.6,18.2,,0.5,0.4,0.9,.185,,1.9,2.4,4.3,0.4,2017
Eric Gordon,SG,28,HOU,11,358,11.5,.551,.579,.149,1.5,11.2,6.5,9.8,1.1,1.3,9.8,17.5,,0.2,0.3,0.5,.072,,1.0,-0.6,0.4,0.2,2017
Marcin Gortat,C,32,WAS,13,409,14.0,.520,.000,.194,14.6,25.8,20.2,8.2,0.6,4.4,14.4,12.4,,0.4,0.5,0.9,.107,,-0.6,-0.5,-1.1,0.1,2017
Jerami Grant,PF,22,OKC,5,111,16.2,.675,.194,.226,6.4,12.4,9.2,5.7,0.4,1.7,8.1,14.3,,0.3,0.0,0.3,.129,,1.2,-0.3,0.9,0.1,2017
Jerian Grant,PG,24,CHI,5,52,-2.5,.329,.391,.130,0.0,8.5,4.3,15.0,2.0,0.0,22.3,27.1,,-0.3,0.0,-0.3,-0.253,,-10.2,-3.7,-13.9,-0.2,2017
Danny Green,SG,29,SAS,16,436,9.6,.529,.685,.126,3.3,12.2,7.6,7.3,1.2,3.4,12.7,13.6,,0.1,0.3,0.5,.051,,-0.4,1.3,0.9,0.3,2017
Draymond Green,PF,26,GSW,17,593,17.9,.583,.484,.416,3.9,23.0,14.1,24.0,2.5,3.8,15.9,16.4,,1.1,1.4,2.4,.196,,2.6,4.2,6.8,1.3,2017
Gerald Green,SF,31,BOS,13,192,13.3,.638,.625,.125,1.2,11.4,6.1,7.6,0.8,0.4,8.4,19.6,,0.3,0.0,0.3,.076,,1.3,-1.2,0.1,0.1,2017
JaMychal Green,PF,26,MEM,6,118,8.8,.589,.444,.083,3.3,18.7,11.0,3.0,0.0,0.0,9.7,17.5,,0.1,0.0,0.0,.020,,-2.4,-1.9,-4.3,-0.1,2017
Blake Griffin,PF,27,LAC,3,99,20.1,.564,.118,.137,3.8,19.8,11.6,14.0,1.1,1.0,10.0,29.2,,0.1,0.1,0.2,.092,,4.8,-0.6,4.2,0.2,2017
Tim Hardaway Jr.,SG,24,ATL,6,200,3.8,.426,.512,.232,1.7,7.3,4.5,5.4,0.7,0.0,10.0,21.3,,-0.4,0.2,-0.2,-0.052,,-4.4,-2.6,-7.0,-0.3,2017
James Harden,PG,27,HOU,11,407,23.0,.583,.528,.528,1.9,13.7,8.0,41.7,2.6,0.9,18.0,35.3,,0.8,0.6,1.3,.157,,6.0,1.0,7.0,0.9,2017
Maurice Harkless,SF,23,POR,4,99,8.6,.386,.353,.235,7.0,6.9,7.0,4.7,2.4,4.3,2.6,16.2,,-0.1,0.1,0.0,-0.011,,-2.2,0.1,-2.0,0.0,2017
Montrezl Harrell,C,23,HOU,5,21,0.9,.443,.000,2.000,5.3,25.1,15.4,13.2,0.0,0.0,26.2,16.0,,0.0,0.0,0.0,-0.024,,-8.8,-0.8,-9.6,0.0,2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Andrew Harrison,PG,22,MEM,6,119,13.8,.592,.448,.310,4.3,7.6,6.0,18.2,1.4,0.8,8.3,15.1,,0.3,0.0,0.2,.099,,0.7,0.4,1.1,0.1,2017
Spencer Hawes,PF,28,MIL,3,17,10.2,.500,.400,.000,13.2,15.3,14.1,9.7,0.0,5.7,16.7,16.8,,0.0,0.0,0.0,.074,,-1.9,-0.1,-2.0,0.0,2017
Gordon Hayward,SF,26,UTA,11,411,20.7,.598,.362,.404,2.0,17.6,9.8,16.7,1.3,0.6,9.8,28.5,,0.8,0.4,1.2,.142,,5.2,0.4,5.6,0.8,2017
John Henson,C,26,MIL,2,12,8.1,.338,.000,.250,18.7,21.6,20.0,0.0,4.4,0.0,18.4,21.6,,0.0,0.0,0.0,-0.044,,-6.2,-5.1,-11.3,0.0,2017
Nenê,C,34,HOU,9,161,21.5,.696,.020,.608,7.6,20.3,14.1,5.7,1.9,1.9,12.2,20.1,,0.4,0.3,0.7,.206,,2.1,1.2,3.4,0.2,2017
George Hill,PG,30,UTA,8,281,13.4,.564,.316,.296,3.4,10.7,7.0,17.8,0.4,0.3,10.5,21.0,,0.3,0.1,0.4,.075,,0.7,-1.6,-0.9,0.1,2017
Rodney Hood,SG,24,UTA,11,277,4.7,.434,.476,.171,0.4,12.6,6.5,7.1,0.9,0.0,8.1,21.1,,-0.6,0.2,-0.4,-0.069,,-4.4,-1.7,-6.1,-0.3,2017
Al Horford,C,30,BOS,18,610,20.1,.668,.274,.153,5.8,17.3,11.3,25.9,1.3,2.0,14.0,17.5,,1.7,0.4,2.1,.165,,4.4,1.5,5.9,1.2,2017
Dwight Howard,C,31,ATL,6,157,13.9,.541,.000,.528,12.8,33.0,22.8,7.6,1.9,2.5,19.9,14.9,,0.0,0.3,0.4,.114,,-2.5,1.5,-1.0,0.0,2017
Kris Humphries,PF,31,ATL,1,3,13.2,,,,0.0,0.0,0.0,0.0,0.0,26.6,,0.0,,0.0,0.0,0.0,.133,,-3.8,9.7,5.9,0.0,2017
Serge Ibaka,PF,27,TOR,10,307,14.4,.527,.292,.100,3.6,21.9,12.8,8.4,0.7,5.1,7.5,22.4,,0.0,0.4,0.4,.065,,-0.5,0.8,0.3,0.2,2017
Andre Iguodala,SF,33,GSW,16,419,10.5,.511,.416,.257,2.5,13.5,8.4,15.5,1.6,1.4,12.5,13.2,,0.2,0.6,0.9,.099,,-1.2,1.3,0.1,0.2,2017
Ersan İlyasova,PF,29,ATL,6,90,9.3,.445,.217,.391,17.4,21.3,19.3,3.2,0.5,0.0,15.6,15.0,,0.0,0.1,0.1,.049,,-2.7,-1.8,-4.5,-0.1,2017
Joe Ingles,SF,29,UTA,11,334,10.2,.538,.661,.145,0.7,14.1,7.4,16.1,3.4,1.3,19.5,11.7,,0.0,0.5,0.4,.064,,-1.6,3.3,1.7,0.3,2017
Kyrie Irving,PG,24,CLE,18,653,21.3,.573,.319,.227,2.4,6.5,4.6,24.7,1.7,1.0,10.6,31.1,,1.6,0.4,2.0,.147,,4.0,-1.8,2.2,0.7,2017
LeBron James,SF,32,CLE,18,744,30.1,.649,.279,.422,3.1,21.6,12.8,33.8,2.3,2.6,13.7,31.6,,3.2,1.1,4.3,.275,,7.7,2.1,9.8,2.2,2017
Richard Jefferson,SF,36,CLE,14,179,7.6,.547,.500,.737,6.9,9.3,8.1,5.1,0.6,1.4,13.7,14.5,,0.1,0.1,0.2,.059,,-3.5,-1.5,-5.0,-0.1,2017
Brandon Jennings,PG,27,WAS,13,178,6.9,.468,.361,.222,3.2,9.1,6.2,18.0,0.6,0.0,16.8,11.5,,0.0,0.1,0.1,.025,,-3.7,-2.3,-6.0,-0.2,2017
Jonas Jerebko,PF,29,BOS,12,128,15.1,.623,.484,.258,6.2,20.8,13.3,13.8,2.0,2.0,14.8,14.4,,0.2,0.1,0.3,.127,,0.0,2.1,2.1,0.1,2017
Amir Johnson,PF,29,BOS,14,142,10.3,.537,.100,.267,13.6,11.1,12.4,3.1,1.4,3.6,15.2,12.6,,0.1,0.1,0.2,.063,,-3.9,-1.5,-5.4,-0.1,2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Joe Johnson,SF,35,UTA,11,326,12.1,.509,.338,.113,2.9,12.9,7.9,14.7,1.0,0.3,8.5,22.3,,-0.1,0.2,0.2,.025,,0.0,-0.7,-0.6,0.1,2017
Wesley Johnson,SF,29,LAC,3,11,6.7,.568,,,0.0,23.8,11.6,0.0,4.9,0.0,0.0,3.9,,0.0,0.0,0.0,.124,,-3.8,4.0,0.2,0.0,2017
Dahntay Jones,SF,36,CLE,10,33,14.9,.656,.200,.500,3.7,20.2,12.4,4.3,0.0,2.5,7.6,17.8,,0.1,0.0,0.1,.177,,-2.0,0.3,-1.7,0.0,2017
Damian Jones,C,21,GSW,4,21,17.3,.444,.000,.286,22.1,9.6,15.4,0.0,4.6,3.9,0.0,16.1,,0.0,0.1,0.1,.185,,-2.8,-0.8,-3.6,0.0,2017
James Jones,SF,36,CLE,8,30,-5.3,.200,.600,.000,4.1,11.1,7.8,0.0,0.0,0.0,28.6,10.4,,-0.1,0.0,-0.1,-0.163,,-9.8,-4.6,-14.4,-0.1,2017
DeAndre Jordan,C,28,LAC,7,264,17.3,.631,.016,.918,11.7,37.6,24.3,3.2,0.6,2.2,16.6,18.7,,0.3,0.4,0.7,.128,,0.8,-0.1,0.7,0.2,2017
Cory Joseph,PG,25,TOR,10,212,11.4,.530,.310,.113,2.3,9.6,6.0,24.8,1.0,0.9,15.8,19.6,,0.0,0.2,0.2,.035,,-0.8,-1.1,-1.9,0.0,2017
Kyle Korver,SG,35,CLE,18,326,10.2,.622,.863,.125,0.8,9.5,5.4,5.3,1.1,1.3,7.7,12.5,,0.4,0.2,0.6,.094,,0.6,-1.0,-0.4,0.1,2017
Joffrey Lauvergne,C,25,CHI,3,26,24.1,.513,.182,.545,21.9,17.0,19.4,31.9,0.0,0.0,12.8,27.1,,0.1,0.0,0.1,.161,,6.2,-0.1,6.1,0.1,2017
Jake Layman,SF,22,POR,2,16,13.3,.615,.250,.500,0.0,7.1,3.3,10.2,2.9,0.0,0.0,12.7,,0.0,0.0,0.0,.121,,-0.5,2.8,2.3,0.0,2017
David Lee,PF,33,SAS,15,245,12.1,.550,.021,.354,9.1,18.2,13.4,6.2,0.8,2.0,9.8,11.1,,0.3,0.2,0.5,.098,,-0.5,-0.1,-0.6,0.1,2017
Kawhi Leonard,SF,25,SAS,12,429,31.5,.672,.272,.505,4.9,20.8,12.5,22.3,2.4,1.4,9.5,28.2,,2.3,0.5,2.8,.314,,10.5,3.7,14.2,1.7,2017
Meyers Leonard,PF,24,POR,3,31,-6.1,.200,.800,.000,6.4,22.1,13.7,4.6,0.0,0.0,44.4,12.1,,-0.1,0.0,-0.1,-0.231,,-12.3,-3.3,-15.7,-0.1,2017
Damian Lillard,PG,26,POR,4,151,18.4,.550,.356,.278,2.6,10.6,6.3,17.9,1.6,1.1,11.4,31.4,,0.1,0.0,0.1,.041,,4.0,-1.4,2.6,0.2,2017
Shaun Livingston,PG,31,GSW,14,220,11.0,.588,.000,.119,5.3,8.7,7.1,12.3,1.1,0.7,13.9,14.1,,0.2,0.3,0.5,.109,,-1.6,0.3,-1.3,0.0,2017
Robin Lopez,C,28,CHI,6,162,23.4,.684,.000,.154,19.7,10.2,14.9,5.6,1.0,3.8,12.6,17.7,,0.5,0.1,0.7,.195,,3.0,-0.4,2.6,0.2,2017
Kevin Love,PF,28,CLE,18,578,19.7,.604,.509,.344,7.6,29.7,19.3,7.5,1.8,2.3,11.0,21.8,,1.3,0.9,2.1,.178,,3.5,-0.3,3.2,0.8,2017
Kyle Lowry,PG,30,TOR,8,300,15.7,.586,.409,.355,1.2,8.8,5.0,26.5,2.1,1.2,13.7,19.5,,0.4,0.3,0.7,.116,,1.6,0.6,2.2,0.3,2017
Trey Lyles,PF,21,UTA,2,10,17.9,.500,.429,.000,0.0,24.1,12.0,22.6,5.2,0.0,12.5,38.1,,0.0,0.0,0.0,-0.052,,2.3,3.9,6.3,0.0,2017
