Player,Tm,season,Ave +/-
Elfrid Payton,ORL,2016,-1.6111111111111112
Nikola Peković,MIN,2016,-4.555555555555555
Kendrick Perkins,NOP,2016,-2.769230769230769
Paul Pierce,LAC,2016,0.7843137254901961
Tibor Pleiß,UTA,2016,-2.5
Mason Plumlee,POR,2016,0.5806451612903226
Miles Plumlee,MIL,2016,-1.1111111111111112
Otto Porter Jr.,WAS,2016,0.6909090909090909
Bobby Portis,CHI,2016,-3.7555555555555555
Kristaps Porziņģis,NYK,2016,-1.3272727272727274
Dwight Powell,DAL,2016,-0.6666666666666666
Norman Powell,TOR,2016,1.4
Phil Pressey,TOT,2016,-2.210526315789474
Phil Pressey,PHI,2016,-2.210526315789474
Phil Pressey,PHO,2016,-2.210526315789474
Ronnie Price,PHO,2016,-1.7659574468085106
Pablo Prigioni,LAC,2016,0.5581395348837209
Tayshaun Prince,MIN,2016,-1.9655172413793103
Julius Randle,LAL,2016,-9.163934426229508
Zach Randolph,MEM,2016,-0.16326530612244897
J.J. Redick,LAC,2016,6.327586206896552
Willie Reed,BRK,2016,-2.0344827586206895
Josh Richardson,MIA,2016,-0.02564102564102564
Austin Rivers,LAC,2016,-1.2
Andre Roberson,OKC,2016,3.3703703703703702
Brian Roberts,TOT,2016,-1.4186046511627908
Brian Roberts,CHO,2016,-1.4186046511627908
Brian Roberts,POR,2016,-1.4186046511627908
Glenn Robinson III,IND,2016,-1.588235294117647
Nate Robinson,NOP,2016,-21.0
Thomas Robinson,BRK,2016,-4.773584905660377
Rajon Rondo,SAC,2016,-1.7222222222222223
Derrick Rose,CHI,2016,-0.4
Terrence Ross,TOR,2016,3.4827586206896552
Terry Rozier,BOS,2016,-0.5333333333333333
Ricky Rubio,MIN,2016,1.105263157894737
Damjan Rudež,MIN,2016,-0.6666666666666666
Brandon Rush,GSW,2016,-0.6666666666666666
D'Angelo Russell,LAL,2016,-8.033333333333333
Robert Sacre,LAL,2016,-2.6315789473684212
JaKarr Sampson,TOT,2016,-2.962962962962963
JaKarr Sampson,PHI,2016,-2.962962962962963
JaKarr Sampson,DEN,2016,-2.962962962962963
Dennis Schröder,ATL,2016,1.55
Luis Scola,TOR,2016,-0.3684210526315789
Mike Scott,ATL,2016,1.2758620689655173
Thabo Sefolosha,ATL,2016,-1.0
Kevin Séraphin,NYK,2016,-1.7297297297297298
Ramon Sessions,WAS,2016,-0.7741935483870968
Iman Shumpert,CLE,2016,3.292682926829268
Jonathon Simmons,SAS,2016,2.8974358974358974
Henry Sims,BRK,2016,-7.7272727272727275
Kyle Singler,OKC,2016,0.14
Donald Sloan,BRK,2016,-2.0434782608695654
Marcus Smart,BOS,2016,1.0212765957446808
Greg Smith,MIN,2016,-5.076923076923077
Ish Smith,TOT,2016,-3.8983050847457625
Ish Smith,NOP,2016,-3.8983050847457625
Ish Smith,PHI,2016,-3.8983050847457625
J.R. Smith,CLE,2016,5.56140350877193
Jason Smith,ORL,2016,-0.6964285714285714
Josh Smith,TOT,2016,-1.4285714285714286
Josh Smith,LAC,2016,-1.4285714285714286
Josh Smith,HOU,2016,-1.4285714285714286
Russ Smith,MEM,2016,-3.5833333333333335
Tony Snell,CHI,2016,1.56
Marreese Speights,GSW,2016,-0.9811320754716981
Tiago Splitter,ATL,2016,2.52
Nik Stauskas,PHI,2016,-4.518518518518518
Lance Stephenson,TOT,2016,-0.5178571428571429
Lance Stephenson,LAC,2016,-0.5178571428571429
Lance Stephenson,MEM,2016,-0.5178571428571429
Alex Stepheson,TOT,2016,-0.2857142857142857
Alex Stepheson,LAC,2016,-0.2857142857142857
Alex Stepheson,MEM,2016,-0.2857142857142857
Jarnell Stokes,TOT,2016,0.6666666666666666
Jarnell Stokes,MEM,2016,0.6666666666666666
Jarnell Stokes,MIA,2016,0.6666666666666666
Amar'e Stoudemire,MIA,2016,0.9736842105263158
Rodney Stuckey,IND,2016,-0.7317073170731707
Jared Sullinger,BOS,2016,2.0163934426229506
Edy Tavares,ATL,2016,-0.5
Jeff Teague,ATL,2016,1.1166666666666667
Mirza Teletović,PHO,2016,-2.1666666666666665
Garrett Temple,WAS,2016,1.1935483870967742
Jason Terry,HOU,2016,1.1607142857142858
Isaiah Thomas,BOS,2016,2.9838709677419355
