Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season
Robert Covington,SF,33,PHI,13,3,16.1,1.8,3.9,.451,0.6,2.0,.308,1.2,1.9,.600,.529,0.8,0.9,.833,1.2,2.0,3.2,0.5,1.4,0.8,0.3,1.8,4.9,2024
Torrey Craig,SF,33,CHI,17,7,21.7,1.8,4.8,.383,0.6,2.4,.268,1.2,2.4,.500,.451,0.5,0.5,.889,1.7,3.3,5.0,1.2,0.6,0.4,0.5,2.5,4.8,2024
Jae Crowder,PF,33,MIL,9,2,26.7,2.8,5.2,.532,1.8,3.4,.516,1.0,1.8,.563,.702,0.8,1.3,.583,0.4,3.4,3.9,1.7,0.8,0.3,0.4,1.6,8.1,2024
Cade Cunningham,PG,22,DET,16,16,35.7,8.1,20.0,.403,1.9,5.9,.330,6.1,14.1,.434,.452,3.9,4.4,.887,0.6,3.1,3.6,7.1,0.8,0.3,4.8,3.0,22.0,2024
Seth Curry,SG,33,DAL,12,0,9.1,1.1,2.8,.394,0.4,1.6,.263,0.7,1.2,.571,.470,0.5,0.6,.857,0.3,0.8,1.1,0.7,0.5,0.1,0.3,0.7,3.1,2024
Stephen Curry,PG,35,GSW,15,15,33.0,9.2,19.0,.484,5.3,12.1,.442,3.9,6.9,.558,.625,6.0,6.4,.938,0.7,3.9,4.6,3.9,0.8,0.1,3.7,1.7,29.7,2024
Dyson Daniels,PG,20,NOP,17,10,28.4,3.2,7.7,.420,0.9,3.2,.273,2.4,4.5,.526,.477,0.9,1.4,.625,1.2,4.0,5.2,3.8,1.6,0.4,1.5,1.9,8.2,2024
Anthony Davis,C,30,LAL,16,16,35.4,8.4,15.4,.549,0.2,0.6,.300,8.3,14.8,.559,.555,5.1,5.9,.862,3.3,8.9,12.1,3.4,1.1,2.9,2.4,3.1,22.1,2024
Johnny Davis,SG,21,WAS,11,0,9.5,1.6,3.2,.514,0.1,0.3,.333,1.5,2.9,.531,.529,0.4,0.5,.800,0.5,1.0,1.5,0.5,0.5,0.1,0.4,0.7,3.7,2024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
DeMar DeRozan,SF,34,CHI,16,16,35.6,7.3,16.5,.443,0.8,2.3,.351,6.5,14.2,.458,.468,5.7,7.0,.813,0.9,2.2,3.1,4.4,1.1,0.9,1.1,2.1,21.1,2024
Moussa Diabaté,C,22,LAC,8,0,6.8,1.1,2.3,.500,0.0,0.0,,1.1,2.3,.500,.500,0.9,1.3,.700,1.8,0.6,2.4,0.5,0.5,0.0,0.3,0.5,3.1,2024
Gradey Dick,SG,20,TOR,15,1,14.7,1.1,4.2,.270,0.7,2.7,.244,0.5,1.5,.318,.349,0.9,0.9,1.000,0.5,1.0,1.5,1.0,0.3,0.0,0.8,1.5,3.9,2024
