Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,season
JaMychal Green,PF,32,GSW,7,49,5.6,.500,.783,.000,0.0,10.7,5.3,8.9,0.0,1.7,8.0,21.0,,0.0,0.0,0.0,-0.004,,-5.4,-0.7,-6.1,-0.1,2023
Jeff Green,PF,36,DEN,20,343,6.8,.583,.452,.306,2.1,8.2,5.3,5.1,0.7,1.8,11.3,10.4,,0.2,0.3,0.6,.078,,-3.7,-0.1,-3.8,-0.2,2023
Blake Griffin,C,33,BOS,1,6,-3.3,.000,.000,.000,19.6,18.6,19.1,0.0,0.0,0.0,0.0,7.5,,0.0,0.0,0.0,-0.054,,-13.3,-4.9,-18.1,0.0,2023
Quentin Grimes,SG,22,NYK,9,242,5.5,.452,.804,.239,1.4,10.3,5.9,7.9,1.9,2.1,16.4,11.2,,-0.2,0.4,0.2,.040,,-3.4,1.0,-2.4,0.0,2023
Rui Hachimura,PF,24,LAL,16,388,16.0,.668,.298,.260,2.6,12.7,7.9,3.9,1.0,0.9,6.4,17.7,,0.8,0.4,1.2,.146,,1.3,0.9,2.2,0.4,2023
James Harden,PG,33,PHI,11,427,18.5,.538,.448,.301,1.6,17.4,9.3,36.2,2.5,1.0,14.5,26.2,,0.5,0.5,1.0,.111,,3.0,1.1,4.1,0.6,2023
Montrezl Harrell,C,29,PHI,2,7,-16.0,.000,.000,.000,0.0,17.1,8.3,0.0,0.0,0.0,0.0,19.8,,-0.1,0.0,-0.1,-0.461,,-16.8,-8.1,-25.0,0.0,2023
Joe Harris,SF,31,BRK,4,44,-5.4,.252,.923,.154,0.0,12.8,6.5,0.0,2.4,0.0,17.8,18.9,,-0.3,0.0,-0.2,-0.262,,-13.1,-2.5,-15.6,-0.2,2023
Tobias Harris,SF,30,PHI,11,392,16.1,.597,.306,.112,4.9,19.2,11.9,7.9,0.9,1.7,5.4,17.5,,0.7,0.4,1.1,.131,,1.0,0.3,1.4,0.3,2023
Shaquille Harrison,SG,29,LAL,8,28,22.2,.635,.143,.286,0.0,10.8,5.7,45.5,3.5,0.0,0.0,12.4,,0.1,0.0,0.2,.286,,0.7,2.1,2.8,0.0,2023
Josh Hart,SF,27,NYK,11,353,10.8,.550,.340,.234,5.8,20.3,13.1,11.2,1.3,0.9,16.8,15.7,,0.1,0.6,0.6,.088,,-1.9,0.9,-0.9,0.1,2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Isaiah Hartenstein,C,24,NYK,11,220,13.5,.566,.000,.696,12.0,14.5,13.2,9.3,2.1,6.9,14.3,7.1,,0.3,0.5,0.8,.170,,-1.4,3.9,2.5,0.2,2023
Udonis Haslem,C,42,MIA,2,3,-36.0,.000,.333,.000,0.0,38.8,19.0,0.0,0.0,0.0,0.0,45.0,,-0.1,0.0,-0.1,-1.055,,-33.2,-18.0,-51.1,0.0,2023
Sam Hauser,SF,25,BOS,15,104,9.3,.502,.828,.069,5.7,12.8,9.4,5.1,0.5,1.7,0.0,13.0,,0.1,0.1,0.2,.079,,-1.2,-1.0,-2.2,0.0,2023
