Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season
Wade Baldwin,PG,21,POR,4,0,4.8,0.3,1.0,.250,0.3,0.3,1.000,0.0,0.8,.000,.375,0.3,0.5,.500,0.0,0.8,0.8,0.8,0.3,0.3,0.8,0.3,1.0,2018
Jerryd Bayless,SG,29,PHI,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Aron Baynes,C,31,BOS,19,12,20.5,2.4,4.7,.506,0.6,1.2,.478,1.8,3.5,.515,.567,0.7,0.9,.722,2.4,3.8,6.2,1.0,0.2,0.6,0.4,2.3,6.0,2018
Bradley Beal,SG,24,WAS,6,6,36.0,8.2,18.0,.454,3.5,7.5,.467,4.7,10.5,.444,.551,3.3,3.8,.870,0.3,3.0,3.3,2.8,1.2,0.3,2.5,3.2,23.2,2018
Marco Belinelli,SG,31,PHI,10,0,27.3,4.3,10.6,.406,1.6,4.6,.348,2.7,6.0,.450,.481,2.7,3.1,.871,0.1,2.0,2.1,2.0,0.7,0.0,0.4,2.0,12.9,2018
Jordan Bell,C,23,GSW,17,0,10.2,1.0,1.9,.531,0.0,0.1,.000,1.0,1.8,.548,.531,0.4,0.8,.500,0.9,1.9,2.8,0.9,0.4,0.5,0.4,1.1,2.4,2018
Dāvis Bertāns,PF,25,SAS,5,0,16.4,0.6,3.6,.167,0.6,3.2,.188,0.0,0.4,.000,.250,1.6,2.2,.727,0.2,2.0,2.2,1.2,0.4,0.0,0.2,2.0,3.4,2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Nemanja Bjelica,PF,29,MIN,5,0,9.4,1.4,3.2,.438,0.8,1.4,.571,0.6,1.8,.333,.563,1.0,1.4,.714,0.8,2.2,3.0,0.6,0.6,0.0,0.2,1.2,4.6,2018
Tarik Black,C,26,HOU,7,0,2.7,0.1,0.6,.250,0.0,0.0,,0.1,0.6,.250,.250,0.0,0.0,,0.3,0.6,0.9,0.3,0.0,0.1,0.1,0.7,0.3,2018
Eric Bledsoe,PG,28,MIL,7,7,32.1,5.3,12.0,.440,1.0,3.1,.318,4.3,8.9,.484,.482,2.0,2.9,.700,0.4,3.1,3.6,3.7,1.0,0.9,2.1,2.7,13.6,2018
Bojan Bogdanović,SF,28,IND,7,7,34.0,4.6,11.6,.395,2.4,6.4,.378,2.1,5.1,.417,.500,0.9,1.4,.600,0.1,3.3,3.4,1.9,0.9,0.0,1.9,3.3,12.4,2018
Trevor Booker,PF,30,IND,7,0,9.1,0.9,1.4,.600,0.0,0.1,.000,0.9,1.3,.667,.600,0.9,1.0,.857,0.7,1.9,2.6,0.0,0.1,0.1,0.1,1.7,2.6,2018
Tony Bradley,C,20,UTA,1,0,2.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2018
Corey Brewer,SG,31,OKC,6,6,25.2,2.2,4.2,.520,0.8,1.8,.455,1.3,2.3,.571,.620,1.0,1.0,1.000,0.7,1.5,2.2,0.8,1.2,0.8,0.3,2.8,6.2,2018
Malcolm Brogdon,PG,25,MIL,7,5,26.6,3.4,7.9,.436,0.7,2.7,.263,2.7,5.1,.528,.482,1.1,1.4,.800,0.4,3.0,3.4,2.4,0.1,0.0,1.7,2.0,8.7,2018
Aaron Brooks,PG,33,MIN,2,0,1.5,1.0,1.5,.667,0.0,0.5,.000,1.0,1.0,1.000,.667,0.0,1.0,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2018
Jaylen Brown,SG,21,BOS,18,15,32.4,6.9,14.8,.466,2.4,6.2,.393,4.4,8.6,.519,.549,1.8,2.8,.640,0.9,3.9,4.8,1.4,0.8,0.6,1.3,3.2,18.0,2018
Lorenzo Brown,PG,27,TOR,4,0,7.3,0.8,2.5,.300,0.5,1.3,.400,0.3,1.3,.200,.400,0.3,0.5,.500,0.3,1.3,1.5,0.5,0.0,0.3,0.3,0.5,2.3,2018
Sterling Brown,SG,22,MIL,3,0,4.3,1.0,1.7,.600,0.3,1.0,.333,0.7,0.7,1.000,.700,0.0,0.0,,0.3,0.3,0.7,0.0,0.3,0.0,0.0,0.7,2.3,2018
Alec Burks,SG,26,UTA,9,0,13.3,3.3,7.1,.469,1.0,2.2,.450,2.3,4.9,.477,.539,1.4,1.7,.867,0.2,2.4,2.7,1.9,0.4,0.1,0.9,1.0,9.1,2018
Jimmy Butler,SG,28,MIN,5,5,34.0,5.6,12.6,.444,1.6,3.4,.471,4.0,9.2,.435,.508,3.0,3.6,.833,0.6,5.4,6.0,4.0,0.8,0.2,1.0,1.8,15.8,2018
José Calderón,PG,36,CLE,13,3,8.0,0.7,2.0,.346,0.3,1.4,.222,0.4,0.6,.625,.423,0.2,0.2,1.000,0.2,0.7,0.8,0.7,0.4,0.0,0.4,1.2,1.8,2018
Clint Capela,C,23,HOU,17,17,30.6,5.6,8.5,.660,0.0,0.0,,5.6,8.5,.660,.660,1.5,3.2,.473,3.6,8.0,11.6,1.3,0.8,2.1,0.9,2.2,12.7,2018
