Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,season
Mike Conley,PG,36,MIN,15,427,15.0,.621,.575,.124,2.5,7.6,5.3,26.5,1.6,0.4,9.1,13.3,1.1,0.6,1.7,.187,1.4,1.4,2.8,0.5,2024
Pat Connaughton,SF,31,MIL,16,382,8.5,.533,.667,.148,3.0,13.1,8.2,10.8,1.0,0.7,12.2,11.0,0.2,0.2,0.4,.044,-1.7,-0.6,-2.3,0.0,2024
Bilal Coulibaly,SF,19,WAS,15,390,10.6,.625,.478,.233,1.6,13.5,7.4,9.3,1.7,2.5,16.8,12.9,0.1,0.1,0.2,.030,-2.3,-0.4,-2.7,-0.1,2024
Robert Covington,SF-PF,33,TOT,16,278,14.2,.552,.567,.233,7.2,12.3,9.8,6.5,4.2,3.8,5.7,10.6,0.4,0.5,0.9,.154,-0.5,3.6,3.0,0.3,2024
Robert Covington,PF,33,LAC,3,69,10.6,.455,.889,.222,3.3,9.2,6.3,12.6,4.2,2.6,0.0,6.1,0.1,0.1,0.2,.145,-2.7,3.9,1.2,0.1,2024
Robert Covington,SF,33,PHI,13,209,15.4,.569,.510,.235,8.5,13.3,10.9,4.4,4.2,4.2,6.6,12.1,0.3,0.4,0.7,.156,0.2,3.5,3.6,0.3,2024
Torrey Craig,SF,33,CHI,17,369,9.1,.477,.506,.111,8.2,17.9,12.8,7.5,1.4,1.7,9.6,11.3,0.1,0.3,0.4,.058,-3.7,-0.3,-3.9,-0.2,2024
Jae Crowder,PF,33,MIL,9,240,12.1,.698,.660,.255,1.9,13.4,7.9,7.8,1.4,1.1,7.1,10.0,0.4,0.1,0.6,.115,1.0,0.2,1.3,0.2,2024
Cade Cunningham,PG,22,DET,16,571,11.3,.501,.294,.222,1.7,9.4,5.6,31.7,1.0,0.6,17.8,31.2,-0.7,0.1,-0.5,-0.044,-1.8,-3.4,-5.2,-0.5,2024
Seth Curry,SG,33,DAL,12,109,10.4,.513,.576,.212,2.9,10.0,6.4,9.5,2.6,0.8,10.0,15.6,0.0,0.1,0.1,.048,-3.6,0.1,-3.5,0.0,2024
Stephen Curry,PG,35,GSW,15,495,23.6,.681,.635,.337,2.1,13.0,7.4,21.3,1.2,0.4,14.4,32.1,1.4,0.4,1.8,.175,8.5,-0.6,8.0,1.3,2024
Dyson Daniels,PG,20,NOP,17,483,11.6,.494,.420,.183,4.6,15.0,9.8,17.5,2.8,1.4,15.5,14.7,0.0,0.7,0.7,.069,-2.3,2.0,-0.3,0.2,2024
Anthony Davis,C,30,LAL,16,567,24.5,.616,.041,.382,10.8,25.6,18.7,15.3,1.4,7.3,11.9,25.1,1.3,1.2,2.5,.209,2.0,2.2,4.2,0.9,2024
Johnny Davis,SG,21,WAS,11,105,12.7,.551,.086,.143,6.0,11.5,8.6,6.4,2.7,0.8,9.7,16.5,0.0,0.0,0.1,.034,-3.3,-1.1,-4.4,-0.1,2024
,,,,,,,,,,,,,,,,,,,,,,,,,,2024
DeMar DeRozan,SF,34,CHI,16,570,18.6,.539,.140,.424,2.8,7.2,4.9,20.6,1.5,2.8,5.4,25.7,1.0,0.3,1.3,.113,1.7,-0.5,1.2,0.5,2024
Moussa Diabaté,C,22,LAC,8,54,24.0,.558,.000,.556,29.2,9.8,19.2,10.9,3.6,0.0,8.2,19.4,0.2,0.1,0.3,.250,3.3,-1.5,1.7,0.1,2024
Gradey Dick,SG,20,TOR,15,220,2.9,.419,.651,.222,3.4,7.7,5.5,8.6,0.9,0.0,14.8,15.6,-0.3,0.2,-0.1,-0.033,-7.3,-1.9,-9.2,-0.4,2024
Ousmane Dieng,PF,20,OKC,11,121,8.1,.477,.722,.111,6.1,12.4,9.6,11.5,0.4,0.0,9.6,15.0,0.0,0.1,0.1,.046,-1.6,-1.7,-3.4,0.0,2024
Spencer Dinwiddie,PG,30,BRK,14,419,14.5,.564,.593,.324,1.5,10.9,6.3,28.1,0.7,0.4,12.7,19.3,0.8,0.2,0.9,.106,1.0,-1.5,-0.5,0.2,2024
Donte DiVincenzo,SG,27,NYK,15,311,13.1,.554,.670,.156,5.1,11.8,8.3,13.7,2.4,1.6,14.0,18.4,0.2,0.5,0.7,.108,0.0,1.6,1.6,0.3,2024
Luka Dončić,PG,24,DAL,16,561,26.3,.614,.449,.345,1.9,22.7,12.2,37.5,1.7,1.1,13.5,34.7,1.6,0.5,2.1,.180,7.3,0.3,7.6,1.4,2024
Luguentz Dort,SF,24,OKC,16,452,12.2,.616,.557,.311,4.6,10.2,7.7,5.2,1.7,2.8,10.3,14.9,0.5,0.6,1.1,.116,-0.9,0.3,-0.6,0.2,2024
Ayo Dosunmu,SG,24,CHI,15,225,11.7,.595,.500,.161,3.3,8.4,5.7,12.4,1.6,0.9,10.8,14.6,0.3,0.1,0.4,.082,-1.8,-0.3,-2.1,0.0,2024
Andre Drummond,C,30,CHI,17,224,21.6,.558,.013,.333,19.7,32.1,25.5,7.8,4.3,2.4,16.5,20.3,0.2,0.5,0.7,.150,-0.5,0.2,-0.3,0.1,2024
Chris Duarte,SF,26,SAC,15,229,6.1,.516,.639,.180,1.4,14.2,7.5,9.2,2.1,0.4,14.3,14.3,-0.1,0.2,0.1,.027,-5.8,0.4,-5.5,-0.2,2024
Kris Dunn,PG,29,UTA,13,134,9.4,.495,.205,.182,3.2,16.0,9.4,26.3,2.5,0.7,24.0,19.1,-0.1,0.1,0.0,-0.015,-5.1,0.2,-4.8,-0.1,2024
Kevin Durant,PF,35,PHO,15,554,25.4,.657,.222,.424,1.1,19.8,11.0,27.1,1.0,2.7,14.3,32.8,1.7,0.6,2.2,.195,6.1,-0.1,6.0,1.1,2024
Jalen Duren,C,20,DET,9,259,18.0,.626,.024,.190,13.7,27.8,20.8,17.0,1.1,3.1,20.9,18.5,0.3,0.3,0.6,.105,-0.6,1.2,0.7,0.2,2024
Tari Eason,PF,22,HOU,7,121,15.5,.524,.326,.047,9.2,26.4,18.0,8.5,1.6,5.5,8.4,17.5,0.0,0.3,0.3,.138,-0.3,2.9,2.6,0.1,2024
Anthony Edwards,SG,22,MIN,15,535,20.4,.577,.338,.292,2.9,14.7,9.2,24.3,2.0,1.0,12.8,32.3,0.6,0.9,1.5,.139,3.0,0.7,3.7,0.8,2024
Kessler Edwards,SF,23,SAC,12,79,6.3,.428,.632,.105,2.7,14.7,8.5,8.1,1.2,2.2,4.8,11.3,0.0,0.1,0.1,.031,-3.8,-0.3,-4.1,0.0,2024
Keon Ellis,SG,24,SAC,9,109,9.4,.503,.769,.423,3.9,12.8,8.2,9.6,2.7,3.2,16.3,14.4,-0.1,0.1,0.1,.041,-2.8,1.1,-1.7,0.0,2024
Joel Embiid,C,29,PHI,15,521,31.5,.613,.161,.557,10.2,24.9,17.7,32.1,1.4,4.9,12.5,36.3,2.1,0.8,2.9,.269,7.7,2.3,10.0,1.6,2024
Drew Eubanks,C,26,PHO,15,274,17.4,.683,.028,.361,9.4,18.3,14.1,13.0,0.5,5.6,16.9,15.9,0.6,0.3,0.9,.158,-0.7,0.3,-0.4,0.1,2024
,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Dante Exum,PG,28,DAL,15,155,15.1,.524,.254,.119,4.8,19.7,12.2,19.2,1.2,1.1,4.6,17.8,0.2,0.1,0.4,.110,-1.2,-0.3,-1.4,0.0,2024
Bruno Fernando,C,25,ATL,4,12,0.6,.727,.333,.333,9.2,0.0,4.6,0.0,0.0,0.0,46.6,21.8,0.0,0.0,0.0,-0.194,-12.0,-4.1,-16.1,0.0,2024
Dorian Finney-Smith,PF,30,BRK,15,466,12.1,.638,.689,.023,6.7,11.4,9.1,6.3,0.4,1.8,10.1,13.6,0.7,0.2,0.9,.094,0.4,-1.3,-0.9,0.1,2024
Malachi Flynn,PG,25,TOR,16,273,11.8,.584,.553,.184,3.2,9.5,6.3,18.2,2.3,1.0,17.1,15.4,0.2,0.3,0.5,.089,-2.1,0.9,-1.2,0.1,2024
